Genus,Species,Latitudinal Range,Elevation Range,CT max,CT min,Max Elevation,Sources
Hylarana,albolabris,,0-1000,,,2000 m,
Rana,angolensis,"""-0.7166666667""",0-1000,,,,
Rana,aurora,"	41.2875111111 ",0-2438 m,,,,
Odorrana,banaorum,14.44 ,1200-1800,,,,
Rana,berlandieri," 	33.15468",0-701 m,,,,
Lithobates,capito,"""32.35222""",0-150 m ,,,,
Rana ,cascadae,"""43.6906773056""",800-2740 m,,,2740 m,
Rana ,catesbeianus,,0-4000 m (ChatGPT 2000 m),25ºC (In tadpoles),32ºC (In tadpoles),4000 m ,"Navas, C. A., Gomes, F. R., & Carvalho, J. E. (2008). Thermal relationships and exercise physiology in anuran amphibians: integration and evolutionary implications. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 151(3), 344-362."
Chalcorana,chalconota,X,0-1571 m ,X,X,1571 m,
Nidirana,chapaensis,x,500-1500 m ,x,x,x,
Lithobates,clamitans,"""43.362""",sea level-1950,33ºC,,,"Fontaine, S. S., Mineo, P. M., & Kohl, K. D. (2021). Experimental depletion of gut microbiota diversity reduces host thermal tolerance and fitness under heat stress in a vertebrate ectotherm. bioRxiv, 2021-06."
Hylarana,erythraea,7.9 98.31667,0-1500 m,x,x,1200 m ,
Hylarana,galamensis,"93,978,333,333",sea level - 1000,,,900 m ,
Lithobates,grylio,"257,609",0-200 m,,,,
Pterorana,khare,"	21.5646944444 ",200-1600 m,,,1600 m,
Rana,kukunoris,,2200-4400 m ,,,4400 m ,
Rana,limnocharis,,0-1500 m,,,,
Amolops,medogensis,"277,487,300,000",700-1820 m,,,1820 m,
Humerana,miopus,,1500-4000 m,,,,
Rana ,muscosa,"338,085,972,222",1370-3660 m,,,3660 m ,
Abavorana,nazgul,,90-105 m ,,,105 m ,
Odorrana,nasica,19.7001 104.7381,914-1219 m,,,1219 m,
Staurois,natator,"90,462,694,444",1200-1400 m,,,1400 m,
Hylarana,nigrovittata,"124,341",130 m,,,,
Rana,omeimontis,"2,823,795",520-2100 m ,,,2100 m ,
Meristogenys,orphnocnemis,,200-1665 m,,,1665 m,
Papurana,papua,"""-6.8845914""",0-1500 m,,,1200 m ,
Pulchrana,picturata,,0-1500 m,,, +1500 m,
Rana/Lithobates,pipiens,"394,746,017",sea level- 3352 m ,,,3352 m ,
Nidirana,pleuraden,"227,318,570",1150-2300 m,,,2300 m,
Rana ,pyrenaica,"4,268,247,546,904,010",800-2100 m ,,,2100 m ,
Amolops,ricketti,28.1,300-1600 m ,,,1600 m,
Pelophylax,ridibundus,"317,285",950-1900 m,,,1900 m,
Glandirana,rugosa,"3,498,333",near sea level- 1100 m,,,1100 m,
Sanguirana,sanguinea,"9,434,116",0-600 m ,,,,
Rana ,sierrae,"3,833,346",1370-3660 m ,,,3660 m ,
Rana ,sphenocephala,36.8,0-300 m ,,,,
Huia,sumatrana,"""-3.42398""",800- 2500 m ,,,1220 m,
Rana ,sylvatica,"594,197,270,000",,,,,
Rana,tagoi,"3,547,014",91-914 m,,,914 m,
Rana,temporaria,"China, japan, germany, norway, korea",sea level- 2000 meters,,,2000 m,